sample_id,degeneracy_type,is_degenerate,D_hat,coh_star,r_LZ,asv_score,text_length,num_tokens
incoherent_003,incoherent,True,0.5,0.30097087378640774,0.5837378640776699,0.7999999999999999,518,103
incoherent_004,incoherent,True,0.5,0.41228070175438597,0.5076754385964912,0.7999999999999999,526,114
incoherent_005,incoherent,True,0.5,0.3709677419354839,0.5651881720430108,0.7999999999999999,800,186
incoherent_006,incoherent,True,0.5,0.29508196721311475,0.5758196721311475,0.7975409836065573,278,61
incoherent_007,incoherent,True,0.5,0.5234899328859061,0.5562080536912751,0.7999999999999999,699,149
incoherent_008,incoherent,True,0.5,0.3592233009708738,0.5964805825242718,0.7999999999999999,960,206
incoherent_009,incoherent,True,0.5,0.3246753246753247,0.599025974025974,0.7999999999999999,368,77
incoherent_010,incoherent,True,0.5,0.5125,0.565625,0.7999999999999999,734,160
incoherent_011,incoherent,True,0.5,0.44976076555023925,0.5340909090909091,0.7999999999999999,964,209
incoherent_012,incoherent,True,0.5,0.2545454545454545,0.5386363636363637,0.7772727272727272,251,55
incoherent_013,incoherent,True,0.5,0.272108843537415,0.5255102040816326,0.7860544217687074,691,147
incoherent_014,incoherent,True,0.5,0.41148325358851673,0.5221291866028708,0.7999999999999999,935,209
incoherent_015,incoherent,True,0.5,0.25,0.5675,0.7749999999999999,506,100
incoherent_016,incoherent,True,0.5,0.24848484848484848,0.5196969696969697,0.7742424242424242,752,165
incoherent_017,incoherent,True,0.5,0.40865384615384615,0.6069711538461539,0.7999999999999999,973,208
incoherent_018,incoherent,True,0.5,0.27941176470588236,0.5643382352941176,0.7897058823529411,294,68
incoherent_019,incoherent,True,0.5,0.30714285714285716,0.5455357142857142,0.7999999999999999,719,140
incoherent_020,incoherent,True,0.5,0.34838709677419355,0.5588709677419355,0.7999999999999999,668,155
incoherent_021,incoherent,True,0.5,0.29508196721311475,0.6598360655737705,0.7975409836065573,283,61
incoherent_022,incoherent,True,0.5,0.297029702970297,0.625,0.7985148514851484,456,101
incoherent_023,incoherent,True,0.5,0.3942307692307692,0.6075721153846154,0.7999999999999999,954,208
incoherent_024,incoherent,True,0.5,0.23157894736842105,0.5171052631578947,0.7657894736842105,433,95
normal_000,normal,False,0.5,0.31521739130434784,0.6345108695652174,0.7999999999999999,462,92
normal_001,normal,False,0.5,0.4084507042253521,0.534037558685446,0.7999999999999999,925,213
normal_002,normal,False,0.5,0.36018957345971564,0.5876777251184834,0.7999999999999999,824,211
normal_003,normal,False,0.5,0.26582278481012656,0.5379746835443038,0.7829113924050632,390,79
normal_004,normal,False,0.5,0.36666666666666664,0.5785714285714286,0.7999999999999999,923,210
normal_005,normal,False,0.5,0.3427230046948357,0.5874413145539906,0.7999999999999999,899,213
normal_006,normal,False,0.5,0.3466666666666667,0.6183333333333333,0.7999999999999999,397,75
normal_007,normal,False,0.5,0.3333333333333333,0.4982142857142857,0.7999999999999999,920,210
normal_008,normal,False,0.5,0.36492890995260663,0.5290284360189573,0.7999999999999999,946,211
normal_009,normal,False,0.5,0.2727272727272727,0.5506198347107438,0.7863636363636364,626,121
normal_010,normal,False,0.5,0.357487922705314,0.5102657004830918,0.7999999999999999,926,207
normal_011,normal,False,0.5,0.33175355450236965,0.5580568720379147,0.7999999999999999,908,211
normal_012,normal,False,0.5,0.3522727272727273,0.5852272727272727,0.7999999999999999,426,88
normal_013,normal,False,0.5,0.431924882629108,0.5005868544600939,0.7999999999999999,909,213
normal_014,normal,False,0.5,0.32857142857142857,0.569047619047619,0.7999999999999999,848,210
normal_015,normal,False,0.5,0.35106382978723405,0.5904255319148937,0.7999999999999999,458,94
normal_016,normal,False,0.5,0.37073170731707317,0.5420731707317074,0.7999999999999999,935,205
normal_017,normal,False,0.5,0.3696682464454976,0.5971563981042654,0.7999999999999999,881,211
normal_018,normal,False,0.5,0.2777777777777778,0.6527777777777778,0.7888888888888889,531,108
normal_019,normal,False,0.5,0.41509433962264153,0.5560141509433962,0.7999999999999999,918,212
normal_020,normal,False,0.5,0.36018957345971564,0.591824644549763,0.7999999999999999,881,211
normal_021,normal,False,0.5,0.27419354838709675,0.5987903225806451,0.7870967741935484,631,124
normal_022,normal,False,0.5,0.38571428571428573,0.5357142857142857,0.7999999999999999,911,210
normal_023,normal,False,0.5,0.3523809523809524,0.5535714285714286,0.7999999999999999,868,210
normal_024,normal,False,0.5,0.3076923076923077,0.6538461538461539,0.7999999999999999,467,91
