sample_id,source,is_hallucination,D_hat,coh_star,r_LZ,asv_score,text_length,num_tokens,llm_model,n_tokens,r_lz_normalized
fever_132716,fever,False,0.5,0.3333333333333333,0.7222222222222222,0.7370370370370369,193,36,gpt-4-turbo-preview,28,1.0
fever_150083,fever,True,0.5,0.3552631578947368,0.5592105263157895,0.7666666666666666,393,76,gpt-4-turbo-preview,64,1.0
fever_152021,fever,True,0.5,0.2533333333333333,0.5866666666666667,0.7277777777777779,409,75,gpt-4-turbo-preview,60,1.0
fever_228342,fever,True,0.5,0.2222222222222222,0.6909722222222222,0.7018518518518518,163,36,gpt-4-turbo-preview,27,1.0
fever_124033,fever,True,0.5,0.2727272727272727,0.7916666666666666,0.6217171717171717,165,33,gpt-4-turbo-preview,25,1.0
fever_69664,fever,True,0.5,0.2857142857142857,0.6205357142857143,0.7547619047619047,107,28,gpt-4-turbo-preview,20,1.0
fever_97686,fever,True,0.5,0.375,0.703125,0.7625,182,40,gpt-4-turbo-preview,32,1.0
fever_73213,fever,True,0.5,0.2857142857142857,0.6607142857142857,0.7547619047619047,217,49,gpt-4-turbo-preview,44,1.0
fever_206718,fever,False,0.5,0.3243243243243243,0.7668918918918919,0.6774774774774774,140,37,gpt-4-turbo-preview,27,1.0
fever_203154,fever,False,0.5,0.3333333333333333,0.8333333333333334,0.5888888888888888,85,21,gpt-4-turbo-preview,14,1.0
fever_77690,fever,True,0.5,0.2923076923076923,0.6730769230769231,0.7602564102564102,336,65,gpt-4-turbo-preview,52,1.0
fever_23628,fever,False,0.5,0.3333333333333333,0.6934523809523809,0.7666666666666666,242,42,gpt-4-turbo-preview,33,1.0
fever_15851,fever,True,0.5,0.32,0.78,0.6599999999999999,238,50,gpt-4-turbo-preview,38,1.0
fever_172482,fever,True,0.5,0.3243243243243243,0.7195945945945946,0.7405405405405405,156,37,gpt-4-turbo-preview,29,1.0
fever_171087,fever,False,0.5,0.3,0.7875,0.6499999999999999,74,20,gpt-4-turbo-preview,14,1.0
fever_130317,fever,False,0.5,0.2666666666666666,0.75,0.6722222222222222,131,30,gpt-4-turbo-preview,24,1.0
fever_216585,fever,False,0.5,0.3272727272727272,0.6545454545454545,0.7666666666666666,205,55,gpt-4-turbo-preview,33,1.0
fever_159713,fever,True,0.5,0.3611111111111111,0.6215277777777778,0.7666666666666666,308,72,gpt-4-turbo-preview,51,1.0
fever_204445,fever,True,0.5,0.3191489361702128,0.6329787234042553,0.7666666666666666,463,94,gpt-4-turbo-preview,75,1.0
fever_127663,fever,True,0.5,0.2666666666666666,0.7027777777777777,0.7351851851851853,185,45,gpt-4-turbo-preview,36,1.0
fever_208147,fever,True,0.5,0.2916666666666667,0.8177083333333334,0.6027777777777776,94,24,gpt-4-turbo-preview,17,1.0
